,vm_pu,va_degree,p_mw,q_mvar
1,1.027905179944128,-13.892309697231354,97.6,44.2
2,1.0190516489658639,-9.870099531079253,0.0,0.0
3,0.9918920493724855,-12.479119546528644,322.0,2.3999999999999986
4,0.9556031325752764,-12.8090093983941,500.0,184.0
5,0.9547797392448025,-11.193782058026601,0.0,0.0
6,0.9558709530639794,-10.313661160462088,0.0,0.0
7,0.9486857245763789,-12.930078274036747,233.80000000000007,84.00000000000003
8,0.9498177018155636,-13.579324206735947,522.0,176.60000000000002
9,1.018674174656727,-14.557591820258924,6.5,-66.60000000000002
10,0.9626846313432376,-7.814613633922119,0.0,0.0
11,0.9590755533840787,-8.672085366962044,0.0,0.0
12,0.9395446806786142,-8.74612710157086,8.529999999999973,88.0
13,0.9609037742517463,-8.67389960930383,0.0,0.0
14,0.9614955740025073,-10.687943229558067,0.0,0.0
15,0.9697769403766289,-11.430830147308969,320.0,153.0
16,0.9889873608112137,-10.0182596237493,329.0000000000002,32.299999999999955
17,0.9930538759759031,-11.211270966563383,0.0,0.0
18,0.9911588343242538,-12.15803386890687,158.0,30.0
19,0.9900778470219384,-4.814610487428894,0.0,0.0
20,0.9869056342009672,-6.221509685561258,680.0,103.0
21,0.9956994378006891,-7.448753136395868,274.0,115.0
22,1.021842273022885,-2.744929384969044,0.0,0.0
23,1.0205527209076581,-2.97180766862522,247.5,84.60000000000002
24,0.9972054247725077,-9.893719303829727,308.5999999999999,-92.20000000000005
25,1.0283399887365734,-8.360658151113208,224.00000000000045,47.200000000000045
26,1.0181336197986757,-9.459905816197512,139.0,17.0
27,1.0004060379418378,-11.499960111026976,281.0,75.5
28,1.0193049556741949,-5.738133507996374,206.0,27.59999999999991
29,1.0207233307967427,-2.8220604110783696,283.5,26.90000000000009
30,1.0499,-7.446132866436176,-250.0,-184.22654308624772
31,0.982,0.0,-672.222508835469,-163.301292130634
32,0.9841000000000001,0.07244649632294624,-650.0,-150.18302975545248
33,0.9971999999999999,0.38130630650683195,-632.0,-47.4309348789094
34,1.0123,-1.04262346294092,-508.0,-140.07270666540887
35,1.0493999999999999,2.2277729077959325,-650.0,-230.45579750525133
36,1.0636,5.042485329235742,-560.0,-197.00891718336538
37,1.0275000000000003,-1.555977928629641,-540.0,-14.396183861592817
38,1.0265000000000002,4.25593740227738,-830.0,-46.63128543130688
39,1.03,-14.946554500074255,104.0,43.171102213935455
